Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
28_54;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.58;12.2;4;0.1847;0.0121;0;0;0.1079;2.8893;0.0858;0;0.1832;18.69;0;0;0.0176;0.0092;0.001;0;0.0007;0.0022;0.005;0.0513;0.0098;0;0;0;0;0;0;0;0;0;0;0
28_55;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.44;12.57;8.34;0.1364;0;0;0;0.0532;2.7665;0.0923;0;0.1258;18.65;0;0;0.0222;0.0129;0;0;0.0007;0.0041;0.0033;0.0582;0.0098;0;0;0;0.008;0;0;0;0.0022;0;0;0
28_57;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.18;12.51;8.88;0.1851;0.0126;0;0;0;1.3733;0.0352;0;0.0939;14.97;0;0;0.0108;0.012;0;0;0.0014;0.0045;0.0079;0.0787;0.0105;0;0;0;0;0;0;0;0.0017;0;0;0
28_58;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.52;10.29;4.1718;0.178;0.025;0;0;0.1779;2.95;0.0808;0;0.0793;16.92;0;0;0.0114;0.0113;0;0;0;0.0056;0.0014;0.0513;0.0085;0;0;0;0;0;0;0;0.0022;0;0;0
28_60;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;12.86;4.91;0.1435;0;0;0;0;3.2717;0.0878;0;0.0619;17.73;0;0;0.0086;0.0051;0;0;0;0.0019;0.0012;0.0498;0.0087;0;0;0;0;0;0;0;0.0016;0;0;0
28_72;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9.69;5.31;0.0925;0.0907;0;0;0.1921;0.8233;0;0.0112;0.0105;5.837;0;0;0.0027;0.0026;0;0;0;0.0033;0.0015;0.054;0.0136;0;0;0;0;0;0;0;0;0;0;0
28_77;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.97;9.1;0.1992;0.0206;0;0;0.5375;1.7333;0.0702;0;0.0744;12.33;0;0.003;0.0153;0.0096;0;0;0;0.0034;0.0022;0.0424;0.0064;0;0;0;0;0;0;0;0.0012;0;0;0;61.28
28_180;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.38;4.74;0.2147;0.0605;0;0;0;3.1024;0.0797;0;0.0511;13.42;0;0.0036;0.011;0.0079;0.0014;0;0;0.0037;0.0014;0.0537;0.0099;0;0;0;0;0;0;0;0;0;0;0;63.03
28_183;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.16;18.28;0.0195;0;0.0245;0;0;0.4841;0;0;0.0103;2.3748;0;0;0;0;0.0005;0;0;0.0009;0.0006;0.0194;0.0016;0;0;0;0;0;0;0;0;0;0;0;69.8
28_184;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.42;17.09;0.0328;0;0.0452;0;0;0.4972;0;0;0.0208;1.831;0;0;0.0018;0.0013;0;0;0;0.0008;0.0005;0.0224;0.001;0;0;0;0;0;0;0;0;0;0;0;71.77
