Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
25_001;571;19;410;6.2;;5.6;22;12.76102088;;3.6;23;9;0;16;16;35.8;51.8;69.11;Eutrófico;0;7.5;4.1;0.25;43.9;0.6;1.1;;1.88;13.99;16.35;0;0;0;0;0;0.2805;0;0;0.0114;2.7158;0;0;0;0.0025;0;0;0.0016;0.0016;0.0008;0.0343;0.0022;0;0;0;0;0;0;0;0.0012;0;0;0
25_002;438;52;510;5.8;;5.2;31;17.98143852;;1.9;31;11;0;22;22;44.1;66.1;66.72;Eutrófico;0;12.3;4;0.55;42.9;1.2;2.7;;2.06;14.17;15.96;0.037;0;0;0;0;0.3202;0;0;0.0168;2.9614;0;0;0.0022;0.0032;0;0;0.0024;0.0021;0.0009;0.0324;0.0017;0;0;0.0036;0;0;0;0;0.0009;0;0;0
25_003;488;52;460;5.4;;4.8;33;19.14153132;;3.2;36;11;0;33;33;50.4;83.4;60.43;Eutrófico;0;10;4.8;0.38;54.1;1.6;2.2;;2.81;16.4;12.05;0.0288;0;0;0;0;0.963;0;0.0094;0.0116;6.7182;0;0.005;0.0051;0.0027;0.0017;0;0.0022;0.0013;0.0038;0.0632;0.0066;0;0;0;0;0;0;0;0.0016;0;0.0022;0
25_004;488;52;460;6;;5.4;19;11.02088167;;2.5;28;9;0;21;21;39.8;60.8;65.46;Eutrófico;0;10.9;5.8;0.23;28.8;1.7;0.8;;2.65;13.07;16.37;0;0;0;0;0;0.5361;0.0347;0.0157;0.0396;6.9797;0;0.0049;0.0043;0.0035;0.0014;0;0.0104;0.0021;0.0043;0.0411;0.0038;0;0;0;0;0;0;0;0.0029;0;0;0
25_005;538;52;410;5.3;;4.7;22;12.76102088;;3;24;6;0;31;31;33.2;64.2;51.71;Eutrófico;0;12.2;4.8;0.26;69.8;0.7;2.2;;1.84;9.93;6.3;0.089;0;0;0;0;2.2473;0.0606;0;0.078;12.24;0;0.0032;0.0103;0.0054;0;0;0;0.0009;0.0011;0.0373;0.0062;0;0;0;0;0;0;0;0.0015;0;0;0
25_006;455;36;510;6.2;;5.6;38;22.04176334;;3.7;46;14;0;24;24;63.9;87.9;72.7;Eutrófico;0;9.1;5.4;0.2;30.5;1;4.8;;1.69;7.88;22.59;0.029;0;0;0;0;0.2315;0;0;0.0062;0.8686;0;0;0;0;0;0;0;0.0003;0;0.0134;0;0;0;0;0;0;0;0;0;0;0;0
25_007;505;36;460;6.3;;5.7;34;19.72157773;;5.1;46;14;0;20;20;65.3;85.3;76.55;Eutrófico;0;6.4;5;0.46;42.7;1.1;9.2;;1.95;10.33;10.34;0.0331;0;0;0;0;0.6813;0;0.0105;0.0088;4.0056;0;0.003;0.0018;0;0.0009;0;0.0005;0.0022;0.0018;0.0576;0.0028;0;0;0;0;0;0;0;0.0011;0;0;0
25_008;505;36;460;5.5;;4.9;23;13.34106729;;3.2;24;7;0;28;28;34.4;62.4;55.13;Eutrófico;0;16.6;5.7;0.24;45.7;1.5;3.9;;2.18;13.74;12.67;0.0446;0;0;0;0;0.6437;0;0.0074;0.0229;6.0516;0;0.0053;0.0043;0.0043;0;0;0.0018;0.002;0.0019;0.0585;0.0047;0;0;0.0039;0;0;0;0;0.0017;0;0;0
25_009;591;51;357;5.1;;4.5;19;11.02088167;;1.8;17;5;3;26;29;24;53;45.28;Distrófico;11.11;10.9;5.2;0.3;102.2;0.4;1.6;;2.05;14.99;8.12;0.0177;0;0;0;0;0.4847;0;0.0216;0.0139;6.7444;0;0.0051;0.0031;0.0031;0;0;0.0008;0.0005;0;0.0312;0.0025;0;0;0;0;0;0;0;0.0014;0;0;0
25_010;208;84;707;5.9;;5.3;33;19.14153132;;3.8;31;16;0;25;25;51;76;67.11;Eutrófico;0;4.5;4;0.32;32.5;0.7;0.9;;1.97;15.12;8.62;0.0376;0;0;0;0;0.6858;0;0.0105;0.0143;7.3081;0;0.0036;0.0039;0.0037;0;0;0.0005;0.0013;0.001;0.0314;0.0049;0;0;0;0;0;0;0;0.0028;0;0.0021;0
25_011;508;134;357;5.8;;5.2;11;6.380510441;;1.2;23;8;0;17;17;32.5;49.5;65.66;Eutrófico;0;41.5;6.2;0.39;72;1.1;0.7;;2.63;11.64;10.61;0.0215;0;0;0;0;0.575;0.0263;0;0.0177;6.125;0;0.0033;0.0044;0.0034;0.0013;0;0.0102;0.0019;0.004;0.0363;0.004;0;0;0;0;0;0;0;0.0021;0;0;0
25_012;291;101;607;5.1;;4.5;27;15.6612529;;1.6;21;3;5;37;42;25.8;67.8;38.05;Distrófico;16.23;5.4;5.1;0.44;48;0.9;0.5;;2.73;9.79;18.09;0.0286;0;0;0;0;0.3959;0;0;0.0205;2.4452;0;0;0.0026;0.0025;0;0;0.003;0.0026;0.0017;0.043;0.0018;0;0;0.0039;0;0;0;0;0.0008;0;0;0
25_013;408;151;441;5.5;;4.9;21;12.18097448;;1.1;45;8;1;26;27;54.4;81.4;66.83;Eutrófico;1.81;10.3;6.3;0.36;44.8;0.8;0.7;;1.87;15.04;11.61;0;0;0;0;0;0.3103;0;0.0212;0.0208;6.509;0;0.0121;0.0064;0.0059;0;0;0.0075;0.0011;0.0009;0.0175;0.0016;0;0;0;0;0;0;0;0.0035;0;0.005;0.0013
25_014;475;218;307;5.2;;4.6;10;5.800464037;;1.7;19;3;3;13;16;24;40;60;Eutrófico;11.11;4.3;6.9;0.46;72;0.3;0.5;;2.53;14.44;8.03;0.088;0;0;0;0;0.5456;0;0;0;6.4035;0;0;0.0018;0.0014;0;0;0;0.0008;0;0.0262;0.0024;0;0;0;0;0;0;0;0;0;0.0036;0
25_015;308;151;541;5;;4.4;21;12.18097448;;2.3;9;2;5;28;33;13.6;46.6;29.18;Distrófico;26.88;4.4;6.5;0.28;50.3;0.9;0.6;;2.28;13.58;6.18;0.0428;0;0;0;0;0.5557;0.0242;0.0705;0.0374;12.06;0;0.0111;0.0057;0.0038;0;0;0;0.0011;0.0006;0.0211;0.0025;0;0;0;0;0;0;0;0.0014;0.0023;0;0
25_016;345;106;549;5.3;;4.7;32;18.56148492;;2.9;32;11;1;36;37;46.1;83.1;55.48;Eutrófico;2.12;26.8;3.6;0.1;28.2;4.1;3.5;;2.83;15.55;6.72;0.0512;0;0;0;0;0.7959;0.0336;0.0126;0.0153;9.32;0;0.003;0.0049;0.0033;0.0018;0;0.0045;0.002;0.0045;0.0489;0.0053;0;0;0;0;0;0;0;0.0023;0;0.0024;0.0011
25_017;362;89;549;5.4;;4.8;28;16.2412993;;2.5;35;9;0;35;35;46.7;81.7;57.16;Eutrófico;0;74.7;3.9;0.53;16.1;7.7;2.3;;2.45;14.17;10.23;0.0293;0;0;0;0;0.7347;0.0263;0.0132;0.0174;8.13;0;0.006;0.0055;0.0035;0.0012;0;0.0122;0.0014;0.0044;0.0405;0.0052;0;0;0;0;0;0;0;0.0026;0;0;0
25_018;289;105;606;4.8;;4.2;32;18.56148492;;2.5;11;3;11;69;80;16.7;96.7;17.27;Distrófico;39.71;86;4.8;0.33;38.1;4.1;0.9;;2.48;15.97;7.2;0.0224;0;0;0;0;0.8126;0.0301;0.0105;0.0355;10.57;0;0.0081;0.0022;0.0073;0.0028;0;0.0026;0.0016;0.0035;0.0429;0.0059;0;0;0;0;0;0;0;0.0033;0;0.0028;0
25_019;356;88;556;5.4;;4.8;32;18.56148492;;3.1;32;9;1;35;36;44.3;80.3;55.17;Eutrófico;2.21;19.7;4.2;0.29;18.2;4.7;1.9;;2.05;13.06;11.4;0.0254;0;0;0;0;0.4587;0;0;0.0258;6.3058;0;0.0053;0.0079;0.0042;0;0;0.0015;0.0007;0.0014;0.0425;0.002;0;0;0;0;0;0;0;0.0011;0;0;0
25_020;456;55;490;5;;4.4;26;15.0812065;;3.6;18;4;3;40;43;25.8;68.8;37.5;Distrófico;10.42;11.6;4.4;0.09;27.8;2.7;2.4;;2.6;15;6.14;0.033;0;0;0;0.0305;0.7245;0.0294;0.012;0.0625;10.93;0;0.0059;0.0052;0.0066;0.0021;0;0.004;0.0024;0.0052;0.0379;0.0049;0;0;0;0;0;0;0;0.0034;0;0.0021;0
25_021;789;55;156;5.1;;4.5;11;6.380510441;;1.1;8;2;1;16;17;11.3;28.3;39.93;Distrófico;8.13;3.3;4.8;0.1;37.1;0.9;1.3;;2.29;15.64;12.94;0;0;0;0;0;0.3976;0;0.008;0.0085;4.4999;0;0.0042;0.0021;0.0017;0;0;0.002;0.0008;0.0004;0.0276;0.0015;0;0;0;0;0;0;0;0.0016;0;0;0
25_022;272;71;656;5;;4.4;43;24.94199536;;3.6;17;5;5;69;74;25.8;99.8;25.85;Distrófico;16.23;54.7;4.7;0.15;57.6;3.4;1.2;;2.73;16.72;9.33;0.0291;0;0;0;0;0.9435;0.0215;0.0075;0.0267;8.79;0;0.0034;0.003;0.0043;0.0021;0;0.0024;0.0011;0.0042;0.065;0.0066;0;0;0;0;0;0;0;0.0012;0;0.0026;0
25_023;419;20;561;5.2;;4.6;33;19.14153132;;3.4;29;10;1;47;48;42.7;90.7;47.08;Distrófico;2.29;27.8;5.9;0.4;26.6;1.1;1.3;;3.09;19.19;5.33;0.0507;0;0;0;0;0.8025;0.019;0.0082;0.0149;10.08;0;0.0034;0.0032;0.0016;0.0011;0;0.0004;0.0014;0;0.0317;0.0029;0;0;0;0;0;0;0;0.0014;0;0;0
25_024;789;7;204;5.7;;5.1;14;8.120649652;;4.1;8;3;0;18;18;15.3;33.3;45.95;Distrófico;0;4.6;5.2;0.21;79.1;1.3;2.7;;2.28;15.14;10.34;0.098;0;0;0;0;1.0021;0.0235;0;0.0345;8.24;0;0.0053;0;0.0063;0;0;0.003;0.0016;0.0015;0.0374;0.004;0;0;0;0;0;0;0;0.0037;0;0.0031;0.0014
25_025;589;40;370;6.4;;5.8;17;9.860788863;;1.4;18;6;0;14;14;25.7;39.7;64.74;Eutrófico;0;7.5;6;0.22;32.4;0.5;1.1;;2.41;14.47;13.68;0.0736;0;0;0;0;0.6184;0.0393;0.0103;0.0528;4.263;0;0;0.0019;0.0071;0;0;0.0148;0.0132;0.0016;0.0495;0.0041;0;0;0;0;0;0;0;0.0044;0;0;0
25_026;573;40;387;5.7;;5.1;13;7.540603248;;0.7;11;3;0;16;16;15;31;48.39;Distrófico;0;16.3;6;0.17;59.3;0.6;1.9;;2.14;17.24;10;0;0;0;0;0;0.3341;0.0227;0;0.006;4.2597;0;0;0.0016;0.0029;0;0;0.0006;0.0009;0;0.0194;0.0017;0;0;0;0;0;0;0;0.0009;0;0.0016;0
25_028;206;124;670;6.2;;5.6;51;29.58236659;;3.1;69;25;0;30;30;97.3;127.3;76.43;Eutrófico;0;16;4.5;0.37;16.8;0.6;2.4;;1.79;15.28;4.48;0.0371;0;0;0;0;0.9038;0.0336;0.0099;0.008;11.05;0;0;0.0031;0.0018;0.0019;0;0.0023;0.0005;0.004;0.0468;0.0066;0;0;0;0;0;0;0;0.0012;0;0.0022;0
25_029;506;57;437;6;;5.4;19;11.02088167;;3.1;25;9;0;18;18;37.3;55.3;67.45;Eutrófico;0;7.8;5.1;0.44;94.2;4.6;3.5;;2.13;14.04;12.55;0.0189;0;0;0;0;0.4513;0;0.0085;0.0122;4.9573;0;0.0028;0.0016;0.0024;0;0;0.0028;0.0007;0.0011;0.0322;0.003;0;0;0;0;0;0;0;0.001;0;0;0
25_031;506;7;487;5.1;;4.5;46;26.68213457;;2.6;20;6;1;41;42;28.8;70.8;40.68;Distrófico;3.36;8.9;5.1;0.66;27.4;0.7;2.3;;1.92;13.92;10.49;0.0794;0;0;0;0;0.7252;0.0297;0.0083;0.0171;6.2212;0;0.0047;0.0036;0.0063;0;0;0.0008;0.0013;0.0032;0.0314;0.0038;0;0;0;0;0;0;0;0.0017;0;0;0
25_032;373;24;604;5;;4.4;32;18.56148492;;2.4;13;4;2;37;39;19.6;58.6;33.45;Distrófico;9.26;8.3;5.5;0.55;28.3;0.8;2.5;;1.42;14.57;9.54;0.0316;0;0;0;0;0.5868;0.0251;0.0093;0.0242;6.6215;0;0.0043;0.0029;0.0029;0;0;0.0003;0.0026;0;0.034;0.002;0;0;0;0;0;0;0;0.0025;0;0;0
25_033;423;40;537;6.7;;6.1;36;20.88167053;;3.3;31;11;0;16;16;45.5;61.5;73.98;Eutrófico;0;4;5.4;0.66;18.2;2.8;4.3;;1.67;13.99;12.23;0.1139;0;0;0;0;0.5918;0;0;0.0867;6.5026;0;0.0035;0.0047;0.0069;0;0;0.0004;0.0023;0.0008;0.0268;0.0016;0;0;0;0;0;0;0;0.0014;0;0;0
25_034;406;40;554;6.6;;6;22;12.76102088;;2.8;16;7;0;16;16;26;42;61.9;Eutrófico;0;6.6;5;0.53;19.9;1.6;1.2;;1.98;12.79;10.47;0;0;0;0;0;0.3754;0;0.0178;0.0393;4.5023;0;0.0061;0.0029;0.0035;0;0;0.0009;0.0008;0;0.0215;0.0016;0;0;0;0;0;0;0;0.0017;0;0;0
25_035;368;174;459;6.7;;6.1;23;13.34106729;;2.1;46;16;0;14;14;64.8;78.8;82.23;Eutrófico;0;8.4;17.2;0.44;62.2;3.5;7.1;;2.12;14.34;11.81;0.0561;0;0;0;0;0.6472;0;0.0075;0.0118;4.6737;0;0.0029;0.0023;0.0028;0;0;0;0.001;0;0.0438;0.0023;0;0;0;0;0;0;0;0.0008;0;0.0019;0
25_036;501;90;409;5.5;;4.9;31;17.98143852;;2;43;30;2;38;40;75.3;115.3;65.31;Eutrófico;2.59;9.4;7.4;0.25;404.6;0.8;2.5;;1.82;10.01;12.27;0.0369;0;0;0;0.064;0.7679;0;0;0.0137;3.9239;0;0;0.0036;0.0013;0.0006;0;0.0004;0.0021;0.0016;0.0417;0.0019;0;0;0;0;0;0;0;0;0;0;0
25_037;401;40;559;6.2;;5.6;33;19.14153132;;6;40;16;1;21;22;62;84;73.81;Eutrófico;1.59;10.7;0.1;1.06;43.7;1.2;2.4;;2.63;17.39;10.46;0;0;0;0;0;0.4301;0;0.0104;0;5.8377;0;0.0049;0;0.0017;0.0007;0;0.0003;0.0005;0;0.0164;0.0015;0;0;0;0;0;0;0;0;0;0;0
25_038;351;40;609;5;;4.4;47;27.26218097;;2.8;20;8;6;87;93;30.8;123.8;24.88;Distrófico;16.3;12.9;0.1;0.7;58.7;0.4;1.4;;1.71;11.95;12.42;0.0273;0;0;0;0;0.4888;0.0207;0.0081;0.0319;4.1766;0;0.004;0;0.0045;0;0;0.0025;0.0031;0.0006;0.0372;0.0018;0;0;0;0;0;0;0;0.0015;0;0;0
25_039;218;174;609;7.2;;6.6;46;26.68213457;;5.7;61;15;0;14;14;84.4;98.4;85.77;Eutrófico;0;19.7;61.1;0.62;63.3;1.2;2.1;;3.31;14.53;10.73;0.0499;0;0;0;0.042;0.5818;0.0188;0.0072;0.0274;6.85;0;0.003;0.0052;0.0044;0.0008;0;0.0031;0.0022;0.0012;0.0288;0.0032;0;0;0;0;0;0;0;0.0013;0;0;0
25_040;168;140;692;5.5;;4.9;27;15.6612529;;1.9;23;8;1;31;32;32.9;64.9;50.69;Eutrófico;2.95;103.3;0.4;0.3;41.4;1.2;0.7;;1.78;15.09;10.47;0.0323;0;0;0;0;0.5917;0.0252;0;0.018;7.1439;0;0.0047;0.0048;0.0036;0;0;0.0009;0.0018;0.0005;0.0302;0.0027;0;0;0;0;0;0;0;0.0012;0;0;0
25_041;368;74;559;5.9;;5.3;34;19.72157773;;4;28;11;0;23;23;43;66;65.15;Eutrófico;0;21.2;0.8;0.72;33.6;1.2;3.2;;2.72;14.18;10.07;0.026;0;0;0;0;0.6084;0;0.0111;0.0169;6.89;0;0.0038;0.0038;0.0032;0.0008;0;0.0014;0.0014;0.0009;0.0375;0.0033;0;0;0;0;0;0;0;0.0023;0;0;0
25_043;402;70;528;4.7;;4.1;26;15.0812065;;3;6;2;17;53;70;11.8;81.8;14.43;Distrófico;59.03;3.8;19.3;0.17;92.7;1.2;0.5;;2.55;14.04;12.67;0;0;0;0;0;0.3806;0;0.0256;0.0275;5.4575;0;0.0137;0.0026;0.0046;0;0;0.0033;0.0012;0.0012;0.0254;0.0019;0;0;0;0;0;0;0;0.0037;0;0.004;0.0018
25_044;443;34;523;5.8;;5.2;27;15.6612529;;3.4;32;9;1;27;28;45;73;61.64;Eutrófico;2.17;25.5;13.6;0.21;31.3;4.9;4.1;;2.41;13.11;8.94;0.0471;0;0;0;0;0.7259;0.0197;0;0.0116;7.98;0;0.0032;0;0.0034;0.0006;0;0;0.0011;0.001;0.025;0.0034;0;0;0;0;0;0;0;0.0011;0;0;0
25_045;393;84;523;6.9;;6.3;16;9.280742459;;1.6;97;6;0;18;18;105.4;123.4;85.41;Eutrófico;0;91.7;18.4;0.2;14.1;2.2;2.1;;2.79;13.6;8.77;0.0693;0;0;0;0;0.735;0.0308;0.0133;0.0295;7.53;0;0.0036;0.0035;0.0037;0;0;0;0.0014;0.0016;0.0197;0.0033;0;0;0;0;0;0;0;0.002;0;0;0
25_046;426;134;440;6.3;;5.7;16;9.280742459;;1.4;58;4;0;19;19;64;83;77.11;Eutrófico;0;48.5;13.8;0.2;65.3;0.7;0.7;;1.87;16.09;11.32;0.0777;0;0;0;0;0.9901;0.0208;0.0068;0.0344;9.05;0;0.0034;0;0.0052;0;0;0.0013;0.0015;0.0007;0.0331;0.0078;0;0;0;0;0;0;0;0.0046;0;0;0
25_047;543;168;290;5.2;;4.6;28;16.2412993;;4.5;41;13;3;29;32;58.8;90.8;64.76;Eutrófico;4.85;6.3;7.1;0.64;327.3;0.6;1.9;;2.32;14.52;10.29;0.042;0;0;0;0;0.905;0.0296;0;0.0255;8.51;0;0;0;0.0036;0;0;0.0011;0.0013;0.0011;0.0394;0.0075;0;0;0;0;0;0;0;0.0037;0;0;0.0013
25_048;226;101;673;5.7;;5.1;46;26.68213457;;5.8;23;9;1;27;28;38.1;66.1;57.64;Eutrófico;2.56;8.2;7.3;0.19;382.6;1.2;3.7;;1.64;14.43;10.32;0.0188;0;0;0;0;0.4831;0.0171;0.0149;0.0238;6.5758;0;0.008;0.0042;0.005;0;0;0.0009;0.0007;0.0007;0.0271;0.0014;0;0;0;0;0;0;0;0.0023;0;0;0
25_049;293;101;606;5.9;;5.3;45;26.10208817;;4.5;50;15;0;40;40;69.8;109.8;63.57;Eutrófico;0;25;6.6;0.52;16.4;2.3;3;;2.48;15.94;14.4;0.0359;0;0;0;0;0.4529;0;0.0137;0.0303;5.0349;0;0.0061;0.0031;0.0064;0;0;0.0055;0.0011;0.0014;0.0415;0.0029;0;0;0;0;0;0;0;0.0039;0;0.0043;0
25_050;309;84;606;5.6;;5;47;27.26218097;;5.2;42;10;0;52;52;57.5;109.5;52.51;Eutrófico;0;46.4;6.3;1;13.3;3;3.6;;2.32;13.86;15.4;0;0;0;0;0;0.4799;0;0;0.0289;4.0918;0;0.0061;0.0026;0.0042;0;0;0.0042;0.0009;0.0011;0.0322;0.0026;0;0;0;0;0;0;0;0.0027;0;0.0024;0
27_3805;788;12;200;;;4.9;25;14.50116009;6;0.8;7;3;0;22;22;10.8;32.8;33;Distrófico;0;12;;0.23;55;0.6;1;2;1.83;11.79;17.34;0;0;0;0;0;0.6468;0;0;0.0094;2.4555;0;0.0026;0;0.0017;0.0006;0;0;0.0004;0;0.0155;0.0025;0;0;0;0;0;0;0;0;0;0;0
27_3846;305;195;500;;;5.5;22;12.76102088;8;1.4;18;8;0;26;26;27.4;53.4;51;Eutrófico;0;19;;0.23;22;2.6;8;10;2.3;11.11;9.92;0.0599;0;0;0;0;1.2461;0.028;0;0.0382;8.2;0;0;0.0046;0.0068;0;0;0.0006;0.0016;0.0014;0.0505;0.0053;0;0;0;0;0;0;0;0.0021;0;0;0
27_3875;823;52;125;;;4.6;19;11.02088167;6;1.1;9;5;2;26;28;15.1;43.1;35;Distrófico;12;10;;0.22;44;0.6;0.4;2;1.81;6.31;26.03;0;0;0;0;0;0.1737;0;0;0;0.5771;0;0;0;0.0009;0;0;0.0015;0.0012;0.0004;0.0404;0;0;0;0;0;0;0;0;0;0;0;0
27_3898;264;211;525;;;4.8;28;16.2412993;7;1.5;11;6;5;37;42;18.5;60.5;31;Distrófico;21;11;;0.34;36;1;1.2;14;2.37;11.71;12.45;0.0269;0;0;0;0;1.086;0.0299;0;0.0204;5.6762;0;0.003;0.0022;0.0051;0.0017;0;0.0007;0.001;0.0022;0.0469;0.0045;0;0;0;0;0;0;0;0.0023;0;0.002;0
27_3920;826;49;125;;;5.5;10;5.800464037;6;0.5;10;3;0;13;13;13.5;26.5;51;Eutrófico;0;1;;0.12;14;0.6;0.4;4;0;5.09;19.8;0;0;0;0;0;0.2082;0;0;0.0106;0.7618;0;0;0;0;0;0;0.0011;0.001;0;0.0191;0.0014;0;0;0;0;0;0;0;0.0009;0;0;0
27_3934;791;59;150;;;4.6;14;8.120649652;7;0.9;4;3;0;26;26;7.9;33.9;23;Distrófico;0;6;;0.31;51;0.6;1;19;2.13;7.99;18.33;0;0;0;0;0;0.4541;0;0;0.0115;1.8286;0;0;0;0.0016;0;0;0.0004;0.0006;0.0012;0.0445;0.0018;0;0;0;0;0;0;0;0;0;0;0
27_3967;474;61;465;;;5.7;19;11.02088167;43;0.7;19;8;0;22;22;27.7;49.7;56;Eutrófico;0;4;;0.33;25;2.6;16;1;2.36;15.94;9.39;0.0706;0;0;0;0;0.9204;0.0274;0.0077;0.015;5.2742;0;0;0.0033;0.0038;0;0;0.0005;0.0018;0.0007;0.0436;0.0043;0;0;0;0;0;0;0;0.0016;0;0;0
27_3969;402;108;490;;;5.3;24;13.92111369;41;1.6;16;7;0;29;29;24.6;53.6;46;Distrófico;0;4;;0.34;30;3.6;2;1;0;8.03;4.55;0.3923;0.0259;0.188;0;0;0.1123;0;0;0;0.6168;0;0.0033;0;0;0;0;0;0.001;0.0014;0.0048;0.0022;0.0009;0;0;0;0;0;0;0;0;0.0059;0
27_3981;422;88;490;;;5;25;14.50116009;5;0.9;11;4;0;31;31;15.9;46.9;34;Distrófico;0;34;;0.34;23;6.4;0.8;1;0;8.45;7.63;0.0523;0;0;0;0;1.4556;0.0335;0;0.016;5.6441;0;0;0.0035;0.0032;0.0017;0;0;0.0005;0.0014;0.043;0.0045;0;0;0;0;0;0;0;0;0;0;0
27_4019;166;159;675;;;5.1;33;19.14153132;6;1.9;14;6;0;38;38;21.9;59.9;37;Distrófico;0;12;;0.25;26;4.4;0.6;17;2.6;10.87;5.5;0.0593;0;0;0;0;2.0202;0.0699;0;0.0608;14.82;0;0.0065;0.0153;0.0074;0.001;0;0.001;0.0014;0.0016;0.0384;0.0047;0;0;0;0;0;0;0;0;0;0;0
27_4021;146;101;753;;;5.7;34;19.72157773;6;1.6;14;7;0;28;28;22.6;50.6;45;Distrófico;0;43;;0.16;27;4.2;0.6;11;3.58;14.79;5.2;0.0805;0;0;0;0;2.5063;0.1016;0;0.0679;19.63;0;0.0049;0.0193;0.0073;0;0;0;0.0006;0.0008;0.0443;0.0074;0;0;0;0;0;0;0;0.0025;0;0;0
27_4023;169;156;675;;;5.8;29;16.82134571;17;2.2;24;14;0;28;28;40.2;68.2;59;Eutrófico;0;32;;0.18;25;5.2;2.2;15;0;11.38;8.1;0.0472;0;0;0;0;1.672;0.0488;0;0.0529;12.74;0;0.0038;0.0199;0.0089;0;0;0.001;0.0009;0.0021;0.0373;0.0048;0;0;0;0.0086;0;0;0;0.0021;0;0;0
27_4027;140;110;750;;;5.6;32;18.56148492;4;1.1;13;5;0;26;26;19.1;45.1;42;Distrófico;0;29;;0.14;41;4;0.6;15;0;12.72;4.43;0.0451;0;0;0;0;1.7436;0.0823;0;0.0555;17.93;0;0;0.0155;0.0042;0;0;0;0.001;0;0.0364;0.0044;0;0;0;0;0;0;0;0;0;0;0
27_4044;651;174;175;;;4.9;17;9.860788863;5;1.1;6;2;0;24;24;9.1;33.1;27;Distrófico;0;13;;0.15;87;1.2;0.6;9;0;7.66;16.57;0.0221;0;0;0;0;0.4965;0;0;0.0112;1.7389;0;0;0;0.0019;0;0;0.0007;0.0005;0.0015;0.0493;0.0015;0;0;0;0;0;0;0;0;0;0;0
27_4054;204;346;450;;;4.3;17;9.860788863;5;2;12;6;23;92;115;20;135;15;Distrófico;53;15;;0.21;40;1.2;0.6;28;2.3;6.93;15.23;0;0;0;0;0;0.4145;0;0;0.0499;2.9137;0;0;0.0038;0.0053;0.0013;0;0.0081;0.0062;0.0031;0.0343;0.0031;0;0;0;0;0;0;0;0.0073;0;0;0
27_4062;348;302;350;;;5.4;14;8.120649652;14;3.3;23;18;0;31;31;44.3;75.3;59;Eutrófico;0;9;;0.12;37;1.2;7;21;1.98;7.45;21.01;0;0;0;0;0;0.3975;0.0256;0;0.0465;2.5803;0;0.0025;0.0021;0.0048;0;0;0.0081;0.0029;0.0032;0.0549;0.003;0;0;0;0;0;0;0;0.0022;0;0;0
27_4092;206;106;688;;;5.5;46;26.68213457;11;0.9;19;7;0;33;33;26.9;59.9;45;Distrófico;0;8;;0.17;33;8.6;2.6;8;3.54;14.44;3.8021;0.0643;0;0;0;0;2.6972;0.1178;0;0.0583;20.14;0;0;0.012;0.0062;0;0;0;0.0009;0;0.0431;0.0065;0;0;0;0;0;0;0;0.0032;0;0;0
27_4096;382;93;525;;;5.3;34;19.72157773;38;1.7;16;7;0;33;33;24.7;57.7;43;Distrófico;0;4;;0.23;33;4.8;2.6;5;2.05;16.23;10.16;0.0697;0;0;0;0;0.9636;0.0477;0;0.0358;6.9966;0;0.003;0.0057;0.005;0.0008;0;0.0008;0.0018;0.0006;0.0628;0.0045;0;0;0;0;0;0;0;0.0024;0;0.0021;0
27_4799;210;115;675;;;4.6;51;29.58236659;10;1;12;4;4;54;58;17;75;23;Distrófico;19;1;;0.34;38;2;0.2;6;2.61;13.32;7.75;0.0363;0;0;0;0;2.9547;0.058;0;0.0297;8.7;0;0.0032;0.0103;0.0042;0.0016;0;0;0.0009;0.002;0.0599;0.0094;0;0;0;0;0;0;0;0.0015;0;0;0
27_4801;221;79;700;;;4.6;31;17.98143852;12;1.5;10;5;3;49;52;16.5;68.5;24;Distrófico;15;2;;0.34;23;2;0.4;5;2.22;14.5;12.38;0.0405;0;0;0;0;2.7913;0.0639;0;0.0358;10.52;0;0.0042;0.007;0.0045;0.0009;0;0.0006;0.0013;0.0015;0.0626;0.0103;0;0;0;0;0;0;0;0.0024;0;0;0
27_4803;168;57;775;;;5.1;26;15.0812065;8;1;19;7;0;38;38;27;65;42;Distrófico;0;2;;0.31;12;2;0.4;15;2.23;13.06;6.23;0.0506;0;0;0;0;2.3289;0.0846;0;0.0623;15.89;0;0;0.008;0.0061;0.0019;0;0;0.0011;0.002;0.0477;0.0078;0;0;0;0;0;0;0;0.0017;0;0;0
